"acfrequency";"r R.v";"i R.v"
5.3608e+06;0.000100233;-0.000200174
5.36698e+06;9.736e-05;-0.000197993
5.37317e+06;9.45994e-05;-0.000195833
5.37936e+06;9.19456e-05;-0.000193698
5.38556e+06;8.93939e-05;-0.000191587
5.39177e+06;8.69394e-05;-0.000189503
5.39799e+06;8.45777e-05;-0.000187445
5.40422e+06;8.23046e-05;-0.000185414
5.41045e+06;8.0116e-05;-0.000183411
5.41669e+06;7.80081e-05;-0.000181435
5.42293e+06;7.59772e-05;-0.000179488
5.42919e+06;7.402e-05;-0.00017757
5.43545e+06;7.21331e-05;-0.00017568
5.44171e+06;7.03135e-05;-0.000173818
5.44799e+06;6.85581e-05;-0.000171985
5.45427e+06;6.68641e-05;-0.00017018
5.46056e+06;6.5229e-05;-0.000168403
5.46686e+06;6.36501e-05;-0.000166654
5.47316e+06;6.2125e-05;-0.000164933
5.47947e+06;6.06515e-05;-0.000163239
5.48579e+06;5.92273e-05;-0.000161573
5.49212e+06;5.78505e-05;-0.000159933
5.49845e+06;5.65189e-05;-0.00015832
